ensembl_gene	chrom	start	end
RBP7	1	9997206	10016021
AC007686.5	14	77084689	77085977
CCDC166	CHR_HSCHR8_3_CTG7	143693701	143695116
AC007686.2	14	77048172	77086457
SFTA2	CHR_HSCHR6_MHC_MANN_CTG1	30975998	30976820
PIGN	18	61905255	62187118
AC105219.5	CHR_HSCHR8_3_CTG7	143683161	143685420
AL355974.1	13	109984858	109986565
JMJD6	17	76712832	76726799
NKX2-8	14	36580004	36582614
SDHAF4	6	70566917	70589569
GNPDA2	4	44682200	44726588
SLC25A21-AS1	14	37171888	37173811
AL118496.1	X	109568478	109570289
AL772155.3	9	63719864	63720441
CBARP	19	1228287	1238027
AL583856.2	6	70596438	70596980
AL772155.2	9	63729702	63730173
NKX2-1-AS1	14	36519278	36523016
AC005105.1	7	28615097	28615888
AL772155.1	9	63728877	63744910
AL583856.1	6	70608234	70609334
AL162464.2	14	36788644	36807163
CREB5	7	28299321	28825894
MYO5BP3	9	63761546	63762824
VTRNA2-1	5	136080470	136080597
TAP2	CHR_HSCHR6_MHC_MANN_CTG1	32975593	32992541
SELENOTP2	5	127176696	127177050
DPPA3P2	14	36371165	36372383
AC005392.1	19	43153279	43160862
CDK2AP2P3	9	63774870	63775241
AC011416.2	5	127179756	127179900
HNF1B	17	37686431	37745105
AC004691.1	7	30796691	30803410
INMT	7	30697985	30757602
PSG2	19	43064209	43083045
SFTA3	14	36473288	36513829
NOS2P1	17	27651334	27665712
AC005775.1	19	490046	507833
CEACAMP7	19	42949503	42950387
TPGS1	19	507497	519654
PDIA3P2	15	43649123	43649280
CEACAMP8	19	43035869	43041248
CCDC103	17	44899142	44905390
PTGER4P3	9	63775892	63776143
INMT-MINDY4	7	30752137	30892081
PSG5	19	43166256	43186536
AP003392.4	11	119065263	119065677
RPSAP18	1	160266340	160267225
AC233266.2	2	91580336	91580863
AL139011.1	1	160261741	160263328
AP001046.1	21	43363332	43366566
TTTY23	Y	9910798	9911962
DPF3	14	72619296	72894116
SMAD5-AS1	5	136129507	136134890
AC026887.1	10	11395808	11398792
CR786580.1	9	63802144	63814159
SMAD5	5	136132845	136188747
AC116050.1	2	91589494	91621421
AC096586.1	4	44704405	44704965
DCAF8	1	160215715	160262531
AC096586.2	4	44693946	44694386
RGS7BP	5	64506015	64612319
UGT2A3	CHR_HSCHR4_1_CTG9	68810840	68834168
LSP1P4	2	91617160	91659972
ESYT3	3	138434586	138481686
PHKBP2	14	36533506	36534538
AC015959.1	18	46385707	46387083
AL079303.1	14	36647083	36658801
TSPAN6	X	100627108	100639991
AC011416.4	5	127231977	127290731
RNF165	18	46326809	46463140
PAX9	14	36657568	36679715
AL050349.1	20	33728931	33731828
ZNF341-AS1	20	33787373	33811109
NOP56	20	2652593	2658393
MEGF10	5	127290796	127465737
RPL31P2	20	33752167	33752543
ACTR1B	2	97655939	97664044
ZNF341	20	33731657	33792269
TMEM267	5	43444252	43483893
SUV39H1	X	48695554	48709012
AC137630.4	3	48985485	48985963
LINC01509	9	107420191	107466613
LINC02509	4	176875688	176908031
AP002770.1	11	73760563	73761070
AP002993.1	11	73722349	73722694
AC097518.1	4	177242539	177248773
WDR6	3	49007062	49015953
RAB6A	11	73675638	73761137
AC097518.2	4	176844493	177301253
HMGN2P32	9	107458038	107458306
RYR3	15	33310945	33866121
AL132857.1	14	36320753	36656163
AL359552.1	9	107426405	107428742
RPAP2	1	92299059	92402056
AC092673.1	4	176866614	176875457
AC008026.3	17	62549726	62552121
AC018931.1	18	46409197	46410645
NKX2-1	14	36516392	36521149
CEACAMP9	19	43096456	43097360
AC079600.3	12	42485353	42498979
AC027627.1	4	177343004	177357032
AC079684.1	12	42361267	42361703
NEIL3	4	177309874	177362936
AC020629.1	12	42286911	42288560
ABR	CHR_HSCHR17_3_CTG2	1003519	1116206
PRICKLE1	12	42456757	42590355
ALG6	1	63367575	63438553
TIMM50	19	39480412	39493785
AC231533.1	X	48698963	48737163
AC136443.1	16	14727282	14733347
MRPL49P1	5	64674853	64675387
AC136443.4	16	14734685	14746177
AC114956.3	5	43483913	43509356
AL162464.1	14	36808871	36828729
AC022497.1	3	138482065	138485755
RPL29P3	14	36577543	36578005
C5orf34	5	43486709	43515148
SLC25A6P6	6	70663502	70664279
MFAP1	15	43804492	43824690
AC003005.2	19	57477649	57482996
SFTA3	14	36473207	36519521
AGA	4	177430774	177442437
SCGB1A1	11	62405103	62423195
MANBAL	20	37289638	37317260
VPS11	11	119067692	119081978
YARS	1	32775237	32818153
DPY19L2P2	7	103175133	103280410
GLMN	1	92246402	92298987
SMARCA5-AS1	4	143513472	143514635
AP003064.2	11	62421845	62426724
AC016888.1	17	74747319	74748912
SMARCA5	4	143513702	143557486
AC064805.2	17	74670077	74677624
AC217627.1	CHR_HSCHR12_5_CTG2_1	130383653	130384179
CSPG4P13	15	77894684	77904674
CD300LF	17	74694311	74712978
AC114956.1	5	43515274	43525310
RPL21P11	14	90366697	90367179
EEF1A1P19	5	43495073	43496454
AL512791.2	14	90383365	90387973
AC114956.2	5	43511058	43521811
VN1R13P	6	27060365	27061249
AC003005.1	19	57487718	57517559
VN1R11P	6	27083280	27084147
AC021146.15	CHR_HSCHR4_1_CTG9	68855376	68858370
AL392024.1	14	72701762	72704280
AL021807.1	6	27122657	27123221
AP001363.1	11	62537312	62542018
AP001363.2	11	62545999	62547699
SIK1	21	43414483	43427131
ZNF419	19	57487711	57496097
MUC21	CHR_HSCHR6_MHC_MANN_CTG1	31028368	31034648
AHNAK	11	62433542	62556235
HIST1H2BJ	6	27125897	27132750
AL137001.1	13	19027837	19028701
PHF2P2	13	18946755	19062718
RPL21P116	15	78863247	78863729
AC021146.13	CHR_HSCHR4_1_CTG9	68867386	68870910
S100PBP	1	32816767	32858875
MORF4L1	15	78810487	78898139
ZNF541	19	47520685	47555856
LINC00442	13	19008259	19026802
HIST1H2AG	6	27133042	27135291
LMTK2	7	98106862	98209638
SSX3	X	48346427	48356707
AC021146.14	CHR_HSCHR4_1_CTG9	68879312	68880086
USP24P1	13	19015487	19019336
GTF2IP3	13	19026001	19032626
UPF3AP3	9	99998301	99999069
ERP44	9	99979185	100099000
HIST1H4I	6	27138588	27139881
S100A11P1	7	103262000	103262311
ADIPOR1P2	14	94633705	94634524
HIST1H2BK	6	27146418	27146798
AL034422.1	20	37338886	37344109
METTL23	17	76726830	76733936
UGT2B27P	CHR_HSCHR4_1_CTG9	68887233	68892380
AC139713.1	4	143555082	143555583
HIST1H2AH	6	27147129	27147515
AL355974.2	13	110031101	110031567
LINC00396	13	110053285	110054952
P4HTM	3	48989889	49007153
PUM2	2	20248691	20352234
DNAJB1	19	14514769	14529770
AC110772.3	CHR_HSCHR4_2_CTG12	186971648	187014215
AL390755.2	13	110123208	110125234
GLDN	15	51341655	51408005
BCKDHB	6	80106647	80346270
PEX19	1	160276812	160286348
AL390755.1	13	109988097	110129136
RPL10P2	6	27211244	27211913
AF250324.6	CHR_HSCHR4_3_CTG12	189703881	189704490
AP003392.5	11	119067374	119067698
FRG1-DT	CHR_HSCHR4_3_CTG12	189780336	189899116
AF250324.5	CHR_HSCHR4_3_CTG12	189884988	189888341
AC018946.1	15	90393490	90397881
AC108866.1	CHR_HSCHR4_4_CTG12	120165490	120165892
AC093789.2	CHR_HSCHR4_5_CTG12	188349376	188350024
OOSP3	11	59878809	59896481
HLA-DPA2	CHR_HSCHR6_MHC_APD_CTG1	33130812	33136354
MDC1-AS1	6	30703067	30713184
SMIM32	5	136191468	136193162
SRD5A3P1	11	59898185	59899133
ICE2P1	CHR_HSCHR4_5_CTG12	188387471	188389666
MDC1	6	30699807	30717447
CNKSR1	1	26177484	26189884
COL11A2P1	CHR_HSCHR6_MHC_APD_CTG1	33142826	33146362
AC078881.1	4	177442519	177681381
AP000790.1	11	59942879	59970146
ZNF773	19	57499915	57518404
SLC9A3R1	17	74748628	74769353
AC103879.1	4	177686673	177691068
ACSL4	X	109624244	109733403
HLA-DPB2	CHR_HSCHR6_MHC_APD_CTG1	33151483	33168112
OOSP1	11	59938432	59957480
LINC01099	4	177729638	177907936
OOSP4A	11	59964033	59970146
CDK12	17	39461486	39564907
LINC01098	4	177728757	178028971
LINC01060	CHR_HSCHR4_5_CTG12	188400736	188543559
ZCCHC17	1	31296982	31364953
REG1A	2	79120362	79123409
AL162424.1	9	122372605	122372825
TFDP2	3	141944428	142149544
AP001816.1	4	101347780	101348883
TLE6	19	2977538	2995179
B3GAT2	6	70856679	70957060
PTGS1	9	122370530	122395703
HLA-DPA3	CHR_HSCHR6_MHC_APD_CTG1	33170244	33170370
AC121338.1	12	47882649	47901525
RAB37	17	74670578	74747335
LYPLA2P1	CHR_HSCHR6_MHC_APD_CTG1	33404609	33405304
PPP3CA	4	101023409	101348278
COL9A2	1	40300489	40317813
AL139011.2	1	160216800	160285130
VDR	12	47841537	47943048
NDUFAF3	3	49020459	49023495
AF250324.2	CHR_HSCHR4_6_CTG12	189703881	189704490
SMAP1	6	70667776	70862011
AC011416.3	5	127215159	127229828
AC226374.2	CHR_HSCHR4_6_CTG12	189885470	189888818
FRG1-DT	CHR_HSCHR4_6_CTG12	189780336	189944248
AC020891.4	15	51351100	51351192
AC020891.1	15	51367377	51369110
SRSF2	17	76734115	76737374
ZBED9	CHR_HSCHR6_MHC_COX_CTG1	28573507	28587330
CHCHD2	7	56101573	56106476
SYCE1	10	133553901	133569835
BHLHA15	7	98211427	98212979
ACSS2	20	34872146	34927962
AL671879.1	CHR_HSCHR6_MHC_COX_CTG1	28587373	28591739
SEPTIN6	X	119615724	119693370
TCF19	CHR_HSCHR6_MHC_COX_CTG1	31151089	31156758
USP30	12	109023089	109088023
TECPR1	7	98214624	98252232
NUPR2	7	56114681	56116417
AL031768.2	6	2353427	2386110
AL359852.2	6	2503797	2528665
AL031768.1	6	2437549	2438249
HMGN2P28	6	2341450	2341711
GMDS-DT	6	2245718	2525976
HTATIP2	11	20363685	20383783
EEF1GP4	3	161324913	161326219
PSMC1P7	3	161328924	161330238
AL606490.1	X	48357125	48359495
RPL10	X	154389955	154409168
AC137630.2	3	48979918	48983985
AL606490.7	X	48371905	48372095
NCOA1	2	24491914	24770702
AC022274.1	8	75167704	75176656
SPTSSB	3	161344792	161372880
HIGD1AP6	8	75302296	75302574
CASC9	8	75223127	75324741
SSX4	X	48383516	48393347
AC105339.1	15	82710471	82714029
LINC02067	3	161426427	161448242
AC005837.2	17	76732978	76738522
AL731769.1	10	133588914	133589413
RPL23AP42	3	161429127	161429597
AC112491.1	3	161429112	161429613
CYP2E1	10	133520406	133561220
MFSD11	17	76735865	76781449
AC020978.2	16	68256162	68260443
OR2H1	CHR_HSCHR6_MHC_MANN_CTG1	29456712	29463860
PLA2G15	16	68245304	68261058
KRT8P31	5	60743563	60744970
AC140125.1	5	177801204	177803344
NCAPGP1	8	120635558	120638204
SSX4B	X	48402078	48411910
NDUFAB1P1	6	70734503	70734962
SNTB1	8	120535745	120813273
AL354943.1	6	70693839	70694619
IGLVV-58	22	22182582	22182885
IGLVIV-65	22	22070225	22070707
IGLVIV-64	22	22075366	22075666
IGLVIV-66-1	22	22058433	22058892
AC245452.4	22	22038643	22039126
AC245517.2	22	22168289	22168634
IGLV10-54	22	22038643	22215270
AC121338.2	12	47905122	47906865
ABHD17AP5	22	22114844	22118005
USP30-AS1	12	109052350	109053952
IGLVIV-59	22	22179228	22179477
AC245517.3	22	22157382	22157631
IGLVI-63	22	22079770	22080263
IGLVI-56	22	22198560	22199011
AC245517.5	22	22087924	22088085
AC245452.3	22	22046430	22046591
IGLV8-61	22	22098700	22099212
OOSP4B	11	59978020	60031077
IGLV11-55	22	22201663	22202161
IGLV1-62	22	22086561	22087110
IGLVV-66	22	22061077	22061538
AC245517.4	22	22155582	22155942
AL390755.3	13	110132003	110136906
ALKBH2	12	109088188	109093631
MTBP	8	120445400	120542133
IGLV4-69	22	22030934	22031472
IGLVI-70	22	22026076	22026593
AC009090.6	16	57177349	57181390
DNAH10	CHR_HSCHR12_6_CTG2_1	123826687	123935766
BMP6P1	22	22185941	22186619
AL137001.2	13	19074038	19118315
OOSP2	11	60040409	60048044
IGLV6-57	22	22195799	22196276
AC006970.1	7	56163145	56163533
ARRB2	17	4710596	4721499
AC006970.2	7	56175634	56176412
FAM192A	16	57152466	57186116
CENPIP1	13	19126399	19139611
IGLV4-60	22	22162199	22162681
AC245517.1	22	22103219	22104857
AC006970.3	7	56214979	56220747
AC245452.5	22	22036344	22040065
IGLVI-68	22	22032745	22033194
PRAMENP	22	21991099	22043934
SCART1	10	133453928	133523558
TIMM22	CHR_HSCHR17_3_CTG2	997117	1003671
RPAP2P1	10	86854696	86856236
BMPR1A	10	86756601	86932838
OTOL1	3	161496808	161503942
AC008985.1	19	47661657	47663895
IGLV10-67	22	22043618	22043942
AC010519.1	19	47607524	47733098
SOCS2P2	22	22170983	22171556
BICRA-AS1	19	47615699	47626395
AC010331.1	19	47607873	47608454
EHD2	19	47713422	47743134
AC112770.1	3	161600438	161735399
AC131211.1	3	161816909	161821908
TOMM22P6	3	162486541	162486949
AC104958.2	8	120812219	120813359
AC008991.1	19	28892931	28895949
AC104958.1	8	120761253	120776832
AC128716.1	3	162601627	162601792
AC011524.2	19	28960506	28964943
LINC00906	19	28883430	28970874
OR6L1P	10	133575122	133576031
AL451070.1	1	31333067	31346799
FRG2B	10	133623895	133626795
MRPL13	8	120380761	120445402
UNG	12	109097574	109110992
AL731769.2	10	133565797	133629507
ZCRB1	12	42312086	42326118
DUX4L50	9	63817748	63818462
AL161645.2	10	133541809	133542575
OR7M1P	10	133481238	133481770
AL161645.1	10	133526259	133527513
BICRA	19	47608196	47703277
AC092040.1	3	64067964	64103131
PRICKLE2-AS1	3	64099273	64101122
AC011524.1	19	28949437	28950200
PRICKLE2-AS2	3	64103470	64106056
PKMP4	8	75376709	75377014
PRICKLE2	3	64092236	64445476
AC095041.1	4	178286695	178287285
GTF2H2	CHR_HSCHR5_1_CTG1_1	70376388	70411404
AC018710.1	4	179069437	179069594
CCDC92	CHR_HSCHR12_6_CTG2_1	123918723	123946006
AC020551.1	4	179389134	179465305
AC021193.1	4	179856853	179857581
AC007375.2	14	77098311	77225462
AC108169.1	4	179923773	180059792
DNASE1L1	X	154401236	154412112
AC096747.1	4	180095527	180117163
TMEM102	17	7435435	7437679
TMEM63C	14	77116568	77259495
POU5F1	CHR_HSCHR6_MHC_COX_CTG1	31156880	31163254
SERBP1P5	4	78180866	78182046
LRPAP1	4	3503612	3532446
AC113189.1	17	7436557	7437523
KCNE5	X	109623700	109625172
SPEM1	17	7420324	7421632
FRAS1	4	78057323	78544269
AL118496.2	X	109636834	109637063
EIF3D	22	36510855	36529184
RPL5P3	15	71063101	71063989
DMXL2	15	51447711	51622833
PPHLN1	12	42238447	42459715
BX927139.1	CHR_HSCHR6_MHC_MANN_CTG1	31055372	31080324
CHRNB1	17	7445061	7457710
CCDC153	11	119189638	119196769
BX927139.2	CHR_HSCHR6_MHC_MANN_CTG1	31098369	31104804
GTF3C1	16	27459555	27549913
PRDX3P4	3	64174401	64175147
PI4KA	22	20707691	20859417
PRICKLE2-DT	3	64445231	64456070
PDZD3	11	119185457	119190223
LINC00994	3	64078361	64087363
CD14	5	140631728	140633701
PRICKLE2-AS3	3	64187544	64200965
TNKS1BP1	11	57299638	57324952
TMEM94	17	75441159	75500452
AC208069.1	CHR_HSCHR12_6_CTG2_1	123927107	123935036
NPIPA2	16	14748066	14765413
AC104758.4	15	77916522	77922019
AC104758.3	15	77914217	77926846
AC007375.3	14	77140683	77142996
CIPC	14	77098126	77117287
TMCO6	5	140639427	140645408
AC136443.2	16	14766402	14770075
AC090987.1	8	130595299	130655712
ABCC6P2	16	14820792	14824702
LARGE-AS1	22	33725007	33750843
RAD51	15	40694774	40732340
C6orf15	CHR_HSCHR6_MHC_MANN_CTG1	31156133	31157469
LINC00533	CHR_HSCHR6_MHC_COX_CTG1	28648243	28654475
ADCY8	8	130780301	131040909
RPSAP2	CHR_HSCHR6_MHC_COX_CTG1	28732809	28733696
NOP56P1	CHR_HSCHR6_MHC_COX_CTG1	28784450	28784821
AC140479.5	2	110245591	110285856
AL669978.1	CHR_HSCHR6_MHC_COX_CTG1	28838507	28839644
RPL13P	CHR_HSCHR6_MHC_COX_CTG1	28862047	28862678
LINC01623	CHR_HSCHR6_MHC_COX_CTG1	28860261	28864009
TNFAIP8	5	119268692	119399688
AC113189.3	17	7439159	7443327
LTA	CHR_HSCHR6_MHC_QBL_CTG1	31562278	31564550
AC113189.9	17	7428861	7436278
EEF1G	11	62559596	62574086
AC113189.2	17	7420103	7444081
MTLN	2	110211529	110245420
FAM204DP	14	77173075	77173652
ZDHHC22	14	77131270	77142734
SPEM2	17	7425616	7427568
FRG1	CHR_HSCHR4_6_CTG12	189944765	189967182
AC004801.7	12	47960497	47963469
AC140479.6	2	110279606	110285681
AC140479.4	2	110231106	110272050
AC113189.4	17	7439506	7445966
Z73429.1	22	33922422	33922766
REG1CP	2	79135503	79138427
LARGE1	22	33162226	33922841
FGF11	17	7438273	7444937
ZNF549	19	57527325	57557542
ACACB	12	109116595	109268226
CDSN	CHR_HSCHR6_MHC_MANN_CTG1	31160057	31165363
MXD4	4	2247432	2262109
PSORS1C1	CHR_HSCHR6_MHC_MANN_CTG1	31159671	31184970
PRKACG	9	69012529	69014113
LINC01532	19	29002319	29015160
ZNF550	19	57535257	57559863
TUT1	11	62575045	62591637
AC226374.1	CHR_HSCHR4_6_CTG12	189977577	189977825
AC114802.1	2	69030042	69033637
AC103726.1	8	130892070	130892785
ZNF90P2	CHR_HSCHR6_MHC_COX_CTG1	28889657	28890731
AC103726.2	8	130935409	130949665
PSORS1C2	CHR_HSCHR6_MHC_MANN_CTG1	31182466	31184282
AF146191.2	CHR_HSCHR4_6_CTG12	189983880	189984585
FABP3	1	31365253	31376850
ANTXR1	2	69013178	69249327
SPEM3	17	7428857	7432820
SHISAL1	22	44243665	44312951
AP000781.1	11	57325603	57327958
AL139300.1	14	103562962	103685924
IK	5	140647058	140662480
MICOS10P4	4	78379197	78379514
SSRP1	11	57325986	57335892
AC125494.3	12	6723233	6723687
Z85994.1	22	44365551	44366284
LINC01796	2	102873183	102895780
AP002990.1	11	62559603	62591531
BAG5	14	103556544	103562831
AC087762.1	15	100716249	100828497
H2AFB1	X	154884972	154885558
TMEM182	2	102736905	103019900
FUNDC2	X	155025980	155060304
SNAP29	22	20859007	20891214
PPP1R2P1	CHR_HSCHR6_MHC_MANN_CTG1	33032931	33033608
PSMB8-AS1	CHR_HSCHR6_MHC_MANN_CTG1	32997846	33000255
AC087762.2	15	100782417	100786189
SH3D21	1	36306368	36329340
AL359711.2	6	109382795	109383666
AC015712.3	15	100846604	100846767
PGR	11	101029624	101129813
TAP1	CHR_HSCHR6_MHC_MANN_CTG1	32998969	33007738
GGT7	20	34844720	34872856
SERPIND1	22	20774113	20787720
CEP70	3	138494344	138594538
XRCC3	14	103697609	103715504
CALM1	14	90396502	90408268
RAB22A	20	58309715	58367507
NOMO1	16	14833721	14896157
BX842559.2	X	154919578	154920182
EEF1A1P31	X	154908885	154919103
AC007308.1	22	20889206	20891214
AC133435.1	3	142043623	142044198
AC068888.1	12	53012884	53054450
F8	X	154835788	155026940
EVA1B	1	36322031	36324154
AC007204.1	19	19908268	19909146
ZNF93	19	19900913	19963464
POLR2LP1	CHR_HSCHR6_MHC_MANN_CTG1	31185651	31185837
Z85994.2	22	44413485	44414814
AC108051.1	2	102987323	102988565
LINC01656	22	44443327	44444788
LINC01935	2	102967408	102984429
SOD2P1	1	103100143	103100704
TIMM9P2	21	39216624	39217506
METTL21AP1	21	39235386	39236020
AF129408.1	21	39184469	39184899
RPL27	17	42998273	43002959
LARGE-IT1	22	33723832	33724912
COL11A1	1	102876467	103108872
Z82173.1	22	33320865	33322813
Z82198.2	22	33164063	33166439
AC080038.2	17	62626031	62626453
FRG1JP	9	63832127	63859641
PSMB8	CHR_HSCHR6_MHC_MANN_CTG1	32994477	32998463
AC022360.1	8	111621458	111621797
ACO2	22	41469117	41528989
SERPINA15P	8	111380603	111380868
LINC02237	8	111376639	111757710
AC007224.2	16	8666762	8667271
MRC2	17	62627670	62693597
AL031729.1	1	27649419	27649610
AC015688.3	17	27666749	27672803
AC064799.2	15	71332120	71352460
AC007842.1	19	40023384	40025502
THSD4-AS1	15	71147650	71189064
AC022360.2	8	111699519	111700276
AL163540.1	9	63974762	64004155
EIF4B	12	53006158	53042209
AC015688.5	17	27675894	27675997
BRWD1	21	39184176	39321559
CASKIN2	17	75500261	75515537
CR769776.3	9	64343044	64362584
THSD4	15	71096952	71783383
CPDP1	17	27677805	27678087
SHISAL2B	5	64690442	64718190
AL158829.1	9	109760360	109772043
AL158823.1	9	110024881	110025358
AC124891.1	12	7870852	7871370
AC007536.1	12	7896608	7896956
MRPS18CP6	22	44483495	44483717
AC006517.1	12	7860437	7860764
PALM2-AKAP2	9	109640788	110172512
AL023973.1	22	44486295	44486914
NANOGP1	12	7890801	7900140
SREK1IP1	5	64718148	64768691
ZFAND2B	2	219195237	219209651
PGR-AS1	11	101129077	101209591
ADAMTS7	15	78759206	78811464
RTL6	22	44492583	44498233
AP001533.1	11	101208905	101209450
KIR2DL3	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	54738512	54753028
RAD51-AS1	15	40686183	40695107
BX842559.1	X	154897561	154898092
KRT18P23	22	44566965	44568247
AC015688.2	17	27682476	27682737
AL591845.1	1	36329630	36335406
F8A1	X	154886349	154888061
AC015688.1	17	27683946	27684144
HOOK2	19	12763003	12872740
LINC00207	22	44569295	44572453
SLC2A14	12	7812512	7891148
AC130289.1	17	27707178	27707250
KIR3DL3	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	54724479	54736534
AC130289.2	17	27708111	27708138
OR6J1	14	22630929	22644352
AC009446.1	8	71675300	71702786
GLOD5	X	48761747	48773648
AL160314.1	14	22694098	22694535
AL162730.1	9	69107926	69108217
PSMB9	CHR_HSCHR6_MHC_MANN_CTG1	32997896	33033347
AC064799.1	15	71341158	71341712
AC108861.1	15	71547280	71549832
TJP2	9	69121264	69274615
CT62	15	71110244	71115500
NRCAM	7	108147623	108456717
MBD4	3	129430944	129440179
MYL7	7	44138864	44141332
AC066613.2	15	51414097	51498833
AL512791.1	14	90402523	90405235
FABP5P12	4	159026139	159026527
AC066613.1	15	51455268	51460582
AL160314.2	14	22701476	22766562
FNIP2	4	158769026	158908050
HMGB1P6	15	71164770	71165415
WIPI2	7	5190196	5233840
AC080038.1	17	62626437	62627590
OR6E1P	14	22702143	22703065
KLF4	9	107484852	107490482
AC080038.3	17	62679403	62681354
AL160314.3	14	22723476	22726572
CCNJP1	7	56228634	56229782
SLC2A12	6	133987581	134052624
AL139327.3	13	19151554	19152307
RBMY2QP	Y	9954532	10035299
AGAP11	10	86970741	87010126
AC073136.1	7	56288230	56291425
OXA1L	14	22766522	22773042
POLR3H	22	41525799	41544606
SMPD4P2	13	19152567	19171194
RBMY2OP	Y	9951553	9959423
KRT8P24	15	48971803	48973361
AC073136.2	7	56304678	56305526
DRD5P1	2	91684447	91685884
AC093392.1	7	56322804	56323601
AC079601.2	12	42431665	42433357
TSPY20P	Y	10036195	10038375
AL139327.4	13	19172773	19172925
SEPTIN14P24	7	56360362	56360541
TSPY5P	Y	10066554	10069151
AC079601.1	12	42459366	42466128
TBPL1	6	133952170	133990432
AC136443.5	16	14862380	14862749
ADIRF	10	86968432	86983934
AC005823.1	17	51335261	51336240
AC006987.1	Y	10070131	10070409
AC087341.1	8	131129761	131144948
DDX23	12	48829756	48852842
AC027612.2	2	91686102	91714745
AC104257.1	8	131308545	131317632
LINC02073	17	51336646	51521401
TRPC7-AS1	5	136214048	136222159
AC093700.1	4	159007119	159007835
TRPC7-AS2	5	136303757	136316100
SRC	20	37344685	37406050
AC060788.1	8	131712512	131712980
C4orf45	4	158893134	159038760
DUX4L31	Y	10171590	10172725
TRPC7	5	136213320	136365545
AC136443.3	16	14901499	14902174
SNCG	10	86958599	86963258
RPL7P48	17	51502488	51503233
AC007637.1	12	109111218	109125594
LINC00229	22	44606939	44625419
ANP32BP2	22	44651835	44652379
KIR3DL2	CHR_HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	54864251	54881045
AC008740.1	16	21347139	21352138
IKZF1	7	50304068	50405101
TMEM203	9	137204082	137205648
SNX29P1	16	21376648	21386064
TPRN	9	137191617	137204193
FOXN4	12	109277978	109309284
AC231533.2	X	48775644	48776970
AL136982.1	10	86992406	87010203
AL136982.6	10	86993432	87024732
ERVW-1	7	92468380	92477986
RPS6P4	3	163115429	163116186
MMRN2	10	86935540	86969481
AC116353.2	5	140609085	140609400
AC128685.1	3	163026396	163232149
TMBIM7P	7	92412550	92447813
NDUFA2	5	140638740	140647785
AC020633.1	3	132386522	132389074
NIP7P2	3	132401253	132401796
LINC01192	3	163109152	163361563
AL512631.2	10	11611305	11612227
AC007566.1	7	92457564	92495601
AC068888.2	12	53012104	53013921
USP6NL	10	11453946	11611754
CICP8	7	56362458	56365270
PEX1	7	92487020	92528520
AC093392.2	7	56380976	56381312
TNS2	12	53046969	53064372
AC092423.1	7	56408699	56409210
EPHB4	7	100802565	100827523
TUBA3C	13	19173772	19181824
AC025268.1	10	86948677	86949875
AC016716.1	2	80162428	80163135
ADIRF-AS1	10	86965345	86971311
AC016716.2	2	80028012	80030551
NDOR1	9	137205685	137217009
LRSAM1	9	127451486	127503501
LRRTM1	2	80288351	80304752
AL136982.2	10	87009785	87015782
FNDC5	1	32862268	32872482
AL136982.7	10	86970237	86970826
AC023511.3	12	30086342	30130590
BMS1P3	10	86992253	87000435
AC023511.2	12	30169881	30170091
RND1	12	48857145	48865870
AL136982.4	10	87001636	87009905
NKX2-4	20	21395365	21397526
MTND4P26	2	120213631	120214989
FAM25A	10	87020294	87024730
AC023511.1	12	30200983	30217916
LINC02386	12	30230779	30296707
AL158013.1	20	21397740	21400391
AC008067.1	2	80572681	80618777
AL449363.1	6	134009033	134009218
RPS6KA4	11	64359148	64372215
MTCO3P43	2	120211727	120212862
THSD8	19	12802031	12813581
AL590235.1	4	3544555	3548796
AC020934.1	19	12825711	12832983
AC012363.1	2	120174885	120216544
CXorf38	X	40626921	40647561
AL445220.1	6	154216931	154217489
AC018761.2	19	12796823	12801849
AC011754.2	2	79269905	79292878
MTND4LP14	2	120213344	120213631
AC010975.1	2	79492704	79513900
AC005840.3	12	6477714	6480207
MTND5P28	2	120215181	120217279
MAST1	19	12833951	12874952
MTATP6P26	2	120211054	120211715
AC068946.3	2	219198640	219200034
MTND3P10	2	120212935	120213275
LINC00319	21	43446601	43453902
OPRM1	6	154010496	154246867
SLC6A10P	16	32877469	32885501
GGA2	16	23463542	23521995
AC010975.2	2	79573764	79575593
AC011754.1	2	79158374	79185523
KDM5C-IT1	X	53212408	53214679
AC010975.3	2	79547151	79548128
INTS10	8	19817391	19852083
RNF39	CHR_HSCHR6_MHC_QBL_CTG1	30059837	30065413
KDM5C	X	53191321	53225422
LINC00554	13	99994899	99997909
REG3A	2	79157003	79159753
NDUFA12P1	13	100027769	100028174
PCCA-DT	13	100053074	100088950
GATA1	X	48786554	48794311
AC142086.1	16	32882586	32888874
AL133325.1	20	21488244	21488625
NCSTN	1	160343316	160358952
EPB41L5	2	120013077	120179119
LINC02574	1	27660328	27662722
GSTM3P1	20	21501395	21501968
ASNSP3	13	100062296	100063601
AL133325.3	20	21499261	21502934
PPP1R11	CHR_HSCHR6_MHC_QBL_CTG1	30056276	30059900
TUBD1	17	59859479	59892945
SNX18P9	9	64439346	64440180
AC010614.1	CHR_HSCHR19_1_CTG3_1	34303449	34303913
AC078776.2	12	30306065	30307611
